‫‪serialNum‬‬,url‬‬,name‬‬,year‬‬,producer‬‬,actors‬‬,genres‬‬
42368,http://www.torec.net/sub.asp?sub_id=42368,בחזרה למחר   /  Tomorrowland, 2015, בראד בירד,"פריי רג'רטנם, אנסלי גורדון, ג'ורג' קלוני, יו לורי, ג'ודי גריר, לוצ'לין מונרו, קתרין האן", הרפתקאות / מיסתורין / פעולה
42856,http://www.torec.net/sub.asp?sub_id=42856,טקס האמי 2015   /  The 67th Primetime Emmy Awards, 2015,"","", דרמה
42853,http://www.torec.net/sub.asp?sub_id=42853,מקומות אפלים   /  Dark Places, 2015, גיל פאקט ברנר,"ניקולס הולט, דראה דה מתאו, שרליז ת'רון, קלואי גרייס מורץ, גלן מורשאוור, לאורה קאיואט, ג'יימס מרטין קלי", דרמה / מיסתורין / מתח
42852,http://www.torec.net/sub.asp?sub_id=42852,לעוף על זה   /  Yellowbird, 2014, כריסטיאן דה וויטה,"ארתור דופונט, שרה פורסטיר, ברונו סלומון, פיאר ריצ'ארד, איזבלה רנאולד, נטלי בוטפו, דני גלובר", אנימציה / הרפתקאות / משפחה / קומדיה
42847,http://www.torec.net/sub.asp?sub_id=42847,המשמרת האחרונה   /  Last Shift, 2014,"","", אימה / מתח
42846,http://www.torec.net/sub.asp?sub_id=42846,ראנר   /  The Runner, 2015, ,"ניקולס קייג', שרה פולסון, קוני נילסן, ונדל פירס, פיטר פונדה", דרמה
42839,http://www.torec.net/sub.asp?sub_id=42839,הנוסע האחרון   /  Last Passenger, 2013, אומיד נושין,"דאגרי סקוט, לינדסי דנקן, עידו גולדברג, דוויד שופיאלד, לי אסקויט'-קוה, קרה תוינטון, פרנק סטון ו", מיסתורין / מתח / פעולה
41358,http://www.torec.net/sub.asp?sub_id=41358,הרוע שבפנים 3   /  Insidious: Chapter 3, 2015, לי וונל,"לין שיי, דרמוט מלרוני, לי וונל, מיכאל רייד מק'יי, פיל אברמס, אנגוס סמפסון, אל קיטס", אימה
42825,http://www.torec.net/sub.asp?sub_id=42825,אהבה וחסד   /  Love & Mercy, 2014, ביל פוהלד,"ג'ון קיוזאק, פול דנו, אליזבת בנקס, פול ג'יאמטי, ג'ף הולמן אי, ג'ואנה גוינג, אריק איידם", ביוגרפיה / דרמה
42813,http://www.torec.net/sub.asp?sub_id=42813,קרוב לאקדח   /  By The Gun, 2014, ג'יימס נוטרן,"ג'אי ג'יאנוני, דמיאן די פאולה, תולי בנט-כאין, הארווי קייטל, טובי ג'ונס, לייטון מיסטר, פול בן-ויקטור", דרמה / מתח / פשע
42812,http://www.torec.net/sub.asp?sub_id=42812,"מרגריטה, עם קש   /  Margarita, With A Straw", 2014, ,"קלקי קוצ'לין, רבאתי, ", דרמה
42809,http://www.torec.net/sub.asp?sub_id=42809,תאונות קטנות   /  Little Accidents, 2014, ,"אליזבת' בנקס, בויד הולברוק, ג'ייקוב לופלנד, ג'וש לוקאס, ג'יימס דפורסט פארקר", דרמה
41067,http://www.torec.net/sub.asp?sub_id=41067,הנוקמים 2: עידן אולטרון   /  The Avengers: Age Of Ultron, 2015, ג'וס ווידון,"תומאס קרצ'מן, סמואל ל. ג'קסון, מארק רופאלו, סקרלט ג'והנסון, דון צ'ידל, פול בטאני, ג'יימס ספיידר", הרפתקאות / פנטזיה / פעולה
42808,http://www.torec.net/sub.asp?sub_id=42808,דברים שאנשים עושים (אחרי הנפילה)   /  After The Fall, 2014, ,"וס בנטלי, וינסה שואו, ג'ייסון אייזקס", דרמה / פשע
42807,http://www.torec.net/sub.asp?sub_id=42807,הצעיר המבריק   /  A Brilliant Young Mind, 2014,"","", דרמה / קומדיה
42806,http://www.torec.net/sub.asp?sub_id=42806,סופת אוקטובר   /  October Gale, 2014, ,"פטרישה קלארקסון, סקוט ספידמן, טים רות'", דרמה / מתח / רומנטיקה
42566,http://www.torec.net/sub.asp?sub_id=42566,מרגלת   /  Spy, 2015, פול פייג,"ג'וד לאו, ג'ייסון סטיית'ם, רוז ביירן, בובי קנווייל, פיפטי סנט, וויל יאן לי, קרלוס פונס", פעולה / קומדיה
42785,http://www.torec.net/sub.asp?sub_id=42785,נסיעה מכרעת   /  Drive Hard, 2014, בריאן טרצ'רד-סמית',"ג'ון קיוזאק, תומאס ג'יין, זוה ונטוורה, דמין גרוי, כריסטופר מוריס איו, יסי ספנס, אנדרו בוצ'אנן אי", פעולה / פשע / קומדיה
42784,http://www.torec.net/sub.asp?sub_id=42784,נאמנות ללא גבולות   /  Broken Horses, 2015, ,"אנטון ילצ'ין, כריס מרקט, וינסנט ד'אונופריו, מריה ולברד, תומאס ג'יין", פעולה / פשע / דרמה
42783,http://www.torec.net/sub.asp?sub_id=42783,החתך   /  The Cut, 2014,"","", דרמה / היסטוריה
42587,http://www.torec.net/sub.asp?sub_id=42587,פורט בליס (חובשת קרבית)   /  Fort Bliss, 2014, קלודיה מאיירס,"עמנואל שריקי, מישל מונהאן, דאש מיהוק, ג'ון סאבאג', פבלו שרייבר, מאנולוב קרדונה, ג'יבנגה אקינגבה", דרמה / מלחמה
42779,http://www.torec.net/sub.asp?sub_id=42779,פולטרגייסט   /  Poltergeist, 2015, גיל קינן,"סאם רוקוול, ג'יין אדמס, רוזמרי דוויט, ג'יירד האריס, לא לופס, סקסון שארבינו, קיל קת'לט", אימה / מתח
42757,http://www.torec.net/sub.asp?sub_id=42757,אגדת האגדות   /  Tale of Tales, 2015, ,"סלמה הייק, ונסן קאסל, טובי ג'ונס, ג'ון סי. ריילי, שירלי הנדרסון", פנטזיה / רומנטיקה
42703,http://www.torec.net/sub.asp?sub_id=42703,הצרפתי   /  La French, 2014, סדריק ג'ימנז,"ג'ין דוג'ארדין, ג'ילס לולש, כלין סלט, מלאני דווטי, בנואה אג'ימל, גוילום גוויקס, ברונו טודסצ'יני", מתח / פעולה / פשע / זר (צרפתית)
42754,http://www.torec.net/sub.asp?sub_id=42754,ג'ארהד 2 : שדה של אש   /  Jarhead 2: Field Of Fire, 2014,"","", מלחמה / פעולה
40631,http://www.torec.net/sub.asp?sub_id=40631,בלב היער   /  Backcountry, 2014, אדם מקדונלד,"אריק בלפור, מיסי פרגרים, ניקולאס קמבל, ג'ף רוף אי, מלאני מולן אי, אשלי נאי", אימה / דרמה / מתח
42747,http://www.torec.net/sub.asp?sub_id=42747,כשנהיה צעירים   /  While We're Young, 2014, נוח באומבאך,"בן סטילר, נעמי ווטס, בראדי קורבט, אמנדה סייפריד, קנדיס קוק, טוד רוהל, מריה דיזיה", דרמה / קומדיה
42734,http://www.torec.net/sub.asp?sub_id=42734,פיץ' פרפקט 2   /  Pitch Perfect 2, 2015, אליזבת בנקס,"אליזבת בנקס, ג'ון מייקל היגינס, בריטני סנואו, קייטי סיגל, ריצ'י מונטגומרי, גרלן בריאנט בנקס, שון קרטר פיטרסון", מוזיקלי / קומדיה
42704,http://www.torec.net/sub.asp?sub_id=42704,איריס   /  Iris, 2014,"","", ביוגרפיה / דוקומנטרי / היסטוריה
42669,http://www.torec.net/sub.asp?sub_id=42669,אלוהה   /  Aloha, 2015, קמרון קרואו,"ביל מארי, איבאנה מיליצ'ביץ', אלק בולדווין, ג'יי ברושל, רייצ'ל מקאדמס, בראדלי קופר, ג'ון קרסינסקי", דרמה / קומדיה / רומנטיקה
41211,http://www.torec.net/sub.asp?sub_id=41211,מקס הזועם: כביש הזעם   /  Mad Max: Fury Road, 2015, ג'ורג' מילר,"ניקולס הולט, שרליז ת'רון, ג'ון האורד, יו קיז-ביירן, נייתן ג'ונס, טום הארדי, מליסה ג'פר", הרפתקאות / מדע בדיוני / פעולה
42652,http://www.torec.net/sub.asp?sub_id=42652,להסתבך בגדול   /  Tell, 2014, ג'מר לונה,"מיילו ונטימיליה, קייטי סאקהוף, ג'ייסון לי, רוברט פטריק, אלן טודיק, ג'ון מייקל היגינס, פאיזון לובה אי", דרמה / פעולה / פשע
42421,http://www.torec.net/sub.asp?sub_id=42421,נשיא על הכוונת   /  Big Game, 2014, ג'יילמרי הלנדר,"ג'יימס באטלר, ג'ים ברודבנט, סמואל ל ג'קסון, טד לוין, ויקטור גרבר, פליסיטי הופמן, ריי סטיבנסון", הרפתקאות / פעולה
42622,http://www.torec.net/sub.asp?sub_id=42622,מנגלהורן   /  Manglehorn, 2014, דיוויד גורדון גרין,"אל פאצ'ינו, לניס תמפל, סיארה סקוט איי, הולי האנטר, הרמוני קורין, אדריק בראון, כריס מסינה", דרמה
42621,http://www.torec.net/sub.asp?sub_id=42621,סוויטה צרפתית   /  Suite Francaise, 2014, סול דיב,"מישל וויליאמס, מתיאס שואנארטס, קריסטין סקוט תומאס, סם ריילי, רות' ווילסון, ניכלס רוהרווצ'ר, דבורה פינדלאי", דרמה / מלחמה / רומנטיקה
41220,http://www.torec.net/sub.asp?sub_id=41220,הסיפור של אדליין   /  The Age Of Adaline, 2015, לי טולאנד קריגר,"הריסון פורד, אלן ברנשטיין, קייטי בייקר, בלייק לייבלי, סרג' האוד, אהרן קראבן, לינדה בויד", דרמה / רומנטיקה
42612,http://www.torec.net/sub.asp?sub_id=42612,משימה סוף   /  Barely Lethal, 2015, קיילי ניומן,"סמואל ל ג'קסון, רייצ'ל האריס, סטיב או, ג'סיקה אלבה, תום בישופ, רוב הב'ל, אלכסנדרה קרוסני", הרפתקאות / פעולה / קומדיה
40609,http://www.torec.net/sub.asp?sub_id=40609,קדחת הקרח   /  Frozen Fever, 2015," כריס באק, ג'ניפר לי קסקסקס","אידינה מנזל, קריסטן בל, ג'וש גאד, ג'ונתן גרוף", אנימציה / הרפתקאות / פנטזיה / סרט קצר / קומדיה
42593,http://www.torec.net/sub.asp?sub_id=42593,מרדף לוהט   /  Hot Pursuit, 2015, אן פלטשר,"ריס ווית'רספון, ג'ון קרול לינץ', מרכוס לייל בראון, ווינסנט לארסקה, ריצ'ארד טי ג'ונס, דייוויד ג'נסן, סופיה ורגרה", פעולה / קומדיה
42582,http://www.torec.net/sub.asp?sub_id=42582,סיפורה של אפי גריי   /  Effie Gray, 2014,"","", דרמה
42573,http://www.torec.net/sub.asp?sub_id=42573,ילד 44   /  Child 44, 2015, דניאל אספינוזה,"וינסנט קאסל, צ'ארלס דאנס, גארי אולדמן, סאם ספרואל, פאדי קונסידין, טרה פיטזגרלד, טום הארדי", דרמה / מתח
42550,http://www.torec.net/sub.asp?sub_id=42550,ניו-יורק סיפור אהבה   /  5 Flights Up, 2014, ריצ'רד לונקריין,"אוגן לאון, מרים שור, מורגן פרימן, דיאן קיטון, ג'וש פאיס, סינתיה ניקסון, חני פורסטנברג", דרמה
42549,http://www.torec.net/sub.asp?sub_id=42549,גע בי   /  Reach Me, 2014, ג'ון הרצפלד,"לורן כהן, קירה סדג'וויק, תומאס ג'יין, קווין קונולי, תום שיזמור, עומרי הארדוויק, דוויד או'הארה", דרמה
40711,http://www.torec.net/sub.asp?sub_id=40711,מורדים   /  Insurgent, 2015, רוברט שוונטק,"גרגורי פארס, קלי ברוק מקכלינסי, בראד ואבר איי, לינדסי לרוס, קייט ווינסלט, נעמי ווטס, מקי פייפר", הרפתקאות / מדע בדיוני / פעולה
42543,http://www.torec.net/sub.asp?sub_id=42543,הרחק מההמון הסואן   /  Far From The Madding Crowd, 2015, תומאס וינטרברג,"מייקל שין, קארי מאליגן, ג'ונו טמפל, טום סטארידג', מתיאס שואנארטס, ג'סיקה בארדן, ריצ'ארד דיקסון", דרמה
42537,http://www.torec.net/sub.asp?sub_id=42537,בית האימה   /  Demonic, 2015,"","", אימה / מתח
40797,http://www.torec.net/sub.asp?sub_id=40797,מהיר ועצבני 7   /  Furious 7, 2015, ג'יימס וואן,"רונדה ראוזי, קורט ראסל, דג'ימון הונסו, פול ווקר, מישל רודריגז, ג'ייסון סטיית'ם, דוויין ג'ונסון", מתח / פעולה / פשע
42365,http://www.torec.net/sub.asp?sub_id=42365,מסע משוגע   /  The Road Within, 2014, גרן וולס,"רוברט שיהאן, דב פטל, זואי קרביץ'", דרמה / קומדיה
42526,http://www.torec.net/sub.asp?sub_id=42526,סימבלין   /  Cymbeline, 2014, ,"אית'ן הוק, אד האריס, מילה יובוביץ', ג'ון לגוויזאמו, פן בדג'לי, דקוטה ג'ונסון, אנטון ילצ'ין", דרמה
42510,http://www.torec.net/sub.asp?sub_id=42510,"אין סיכוי, חוזה   /  No Way Jose", 2015, ,"אמילי אוסמנט, אדם גולדברג", קומדיה
42509,http://www.torec.net/sub.asp?sub_id=42509,טום וג'רי: מסע הריגול   /  Tom and Jerry: Spy Quest, 2015,"","", אנימציה
42508,http://www.torec.net/sub.asp?sub_id=42508,הבאר   /  The Well, 2014, ת'ומאס ס האמוק,"האלי לו ריצ'ארדסון, בובו סטוורט, מקס צ'ארלס, ניקול אריאנה פוקס, מיצ'אל ולץ', ג'ון גרייס, מייקל מאסי", אימה / מתח / פעולה
42497,http://www.torec.net/sub.asp?sub_id=42497,האפי ואלי: סקנדל בנבחרת   /  Happy Valley, 2015,"","", דוקומנטרי / דרמה / ספורט
40165,http://www.torec.net/sub.asp?sub_id=40165,דירה בפריז   /  My Old Lady, 2014, איסראל הורוביץ,"קווין קליין, מיצ'אל בורסטין, אלי ווג'מן, מגי סמית', רפהאל מווטיר, סופהי תוויטוו, דומיניק פינון", דרמה / קומדיה
42391,http://www.torec.net/sub.asp?sub_id=42391,הזדמנות נוספת   /  A Second Chance, 2014, סוזנה בייר,"מולי בליקסט אגלינד, אולריך טומסון, ניקולאי לי קאס, ניקולאי קוסטר-וולדו, מריה בונווי, שרלוט פיץ', תומאס בו לארסן"," דרמה / זר (שוודית, דנית)"
42453,http://www.torec.net/sub.asp?sub_id=42453,רואה לך בעיניים   /  In Your Eyes, 2014,"","", דרמה / קומדיה / רומנטיקה
14040,http://www.torec.net/sub.asp?sub_id=14040,קרב מלכותי   /  Batoru Rowaiaru (Battle Royale), 2000, קינג'י פוקסאקו,"טצויה פוג'יוורה, אקי מאדס, טארו יאמוטו, שיאקי קוריאמה, סאוסוקי טקאוקה, טקאשי טסוקאמוטו, יוקיהירו קוטני", דרמה / מתח / פעולה / זר (יפנית)
42429,http://www.torec.net/sub.asp?sub_id=42429,אהבה למרחקים ארוכים   /  The Longest Ride, 2015, ג'ורג' תילמן ג'וניור אי,"אלה אוברון, פיטר ג'ורסיק, אש טיילור, טוד טרולי, אלן אלדה, לוליטה דוידוביץ', לוני בורצ'פילד", דרמה
42420,http://www.torec.net/sub.asp?sub_id=42420,בלקהאט   /  Blackhat, 2015, מייקל מאן,"כריס המסוורת', ליהום וונג, ווי טנג, ויולה דייוויס, הולט מקקלאני, אנדי און, ריצ'י קוסטר", דרמה / מיסתורין / מתח / פעולה / פשע
42404,http://www.torec.net/sub.asp?sub_id=42404,סינדרלה   /  Cinderella, 2015, קנת בראנה,"קייט בלאנשט, בן צ'אפלין, דרק ג'קובי, סטלן סקארגארד, הלנה בונהם קרטר, היילי אטוול, נונסו אנוזי", דרמה / הרפתקאות / משפחה / פנטזיה / רומנטיקה
42396,http://www.torec.net/sub.asp?sub_id=42396,דני קולינס   /  Danny Collins, 2015, דן פוגלמן,"אל פאצ'ינו, כריסטופר פלאמר, ג'ניפר גארנר, אנט בנינג, בובי קנווייל, ג'וש פק, רון בוטיטה", דרמה / מוזיקלי / קומדיה
42394,http://www.torec.net/sub.asp?sub_id=42394,בית   /  Home, 2015, תים ג'ונסון ו,"ג'ים פרסונס, ריהאנה, ג'ניפר לופז, מאט ג'ונס, סטיב מרטין", אנימציה / הרפתקאות / פנטזיה
42390,http://www.torec.net/sub.asp?sub_id=42390,מטוסי נייר   /  Paper Planes, 2014,"","", משפחה
42366,http://www.torec.net/sub.asp?sub_id=42366,אנחנו היינו כאן   /  We Were Here, 2011, דיוויד וויסמן,כליב ג'ונס, דוקומנטרי
41356,http://www.torec.net/sub.asp?sub_id=41356,האישה בזהב   /  Woman In Gold, 2015, סימון כורטיס אי,"צ'ארלס דאנס, קייטי הולמס, ג'ונתן פרייס, פרנסיס פישר, אלן קורדונר, ריאן ריינולדס, מוריץ בלייבטראו", דרמה
41352,http://www.torec.net/sub.asp?sub_id=41352,מלון מריגולד האקזוטי השני   /  The Second Best Exotic Marigold Hotel, 2015, ג'ון מאדן,"רג'ש תאילנג, מגי סמית', ריצ'רד גיר, ג'ודי דנץ', דיוויד סטארטיירן, ביל ניי, ססיל אימרי", דרמה / קומדיה
41350,http://www.torec.net/sub.asp?sub_id=41350,ג'ימי פיקארד   /  Jimmy P., 2013, ארנוד דספלצ'ין,"בניסיו דל טורו, מתיו אמלריק, ג'ינה מקקי, לארי פיין, ג'וזף קרוס, גרי פרמר, מישל טרוש", דרמה
41349,http://www.torec.net/sub.asp?sub_id=41349,שנת החורף   /  Winter Sleep, 2014,"","", דרמה80/100
41323,http://www.torec.net/sub.asp?sub_id=41323,מערב איטי   /  Slow West, 2015,"","", מערבון / מתח / פעולה
41307,http://www.torec.net/sub.asp?sub_id=41307,מתנקש על הכוונת   /  The Gunman, 2015, פיאר מוראל,"חוויאר בארדם, ג'ד רוט'-רוונד, שון פן, ריי ווינסטון, אידריס אלבה, מרק רילנס, ג'סמין טרינקה", דרמה / פעולה / פשע
41293,http://www.torec.net/sub.asp?sub_id=41293,צ'ארלי מורדכי   /  Mortdecai, 2015, דייויד קופ,"וסטין ליון, ריצ'ארד הרדמן, אנטי האקלה איי, גווינת' פאלטרו, יואן מקגרגור, ג'וני דפ, פול בטאני", פעולה / קומדיה
41292,http://www.torec.net/sub.asp?sub_id=41292,הנרדף   /  Persecuted, 2014,"","", פעולה / דרמה / מיסתורין
41291,http://www.torec.net/sub.asp?sub_id=41291,סחר בבני אדם   /  Skin Trade, 2014, ,"טוני ג'ה, דולף לונדגרן, מייקל ג'יי וייט, סלינה ג'ייד, רון פרלמן", פעולה / פשע / מתח
41285,http://www.torec.net/sub.asp?sub_id=41285,אפקט לזרוס   /  The Lazarus Effect, 2015, דוויד ג'לב אי,"אוליביה וויילד, מארק דופלקס, דונלד גלובר, אבן פיטרס, סרה בולגר, ג'ניפר פלויד אי, ברונו גון", אימה / מתח
41284,http://www.torec.net/sub.asp?sub_id=41284,"מקפרלנד,ארה""ב   /  McFarland, USA", 2015, ,קווין קוסטנר, דרמה / ספורט
41283,http://www.torec.net/sub.asp?sub_id=41283,חסר סיכוי   /  50 to 1, 2014,"","", דרמה
41282,http://www.torec.net/sub.asp?sub_id=41282,מושתקים   /  Silenced, 2011, דונג היוק הוונג,יו-מי ג'ונג אי, דרמה / זר (קוריאנית)
41281,http://www.torec.net/sub.asp?sub_id=41281,הפולשים   /  The Intruders, 2015, ,"מירנדה קוסגרוב, דונאל לוג, אוסטין באטלר, טום סייזמור", מתח
41279,http://www.torec.net/sub.asp?sub_id=41279,מיס ג'ולי   /  Miss Julie, 2014, ,"קולין פארל, ג'סיקה צ'סטיין, סמנתה מורטון", 
41273,http://www.torec.net/sub.asp?sub_id=41273,נראה אותך אסיר   /  Get Hard, 2015, אטן קוהן,"טי איי, דן בקאדהל, פול בן-ויקטור, וויל פארל, קווין הארט, ג'יימס מוסס בלאק, ברט ביובאי", קומדיה
41272,http://www.torec.net/sub.asp?sub_id=41272,יקירי   /  Qin Ai De, 2014, פיטר צ'אן,"זאו ווי, בו האנג, דאוואי טונג, לאי האו, קיטי זאנג יוקי, גווקיאנג זהאנג, יי זהאנג וויי"," דרמה / זר (מנדרין, סינית)"
41266,http://www.torec.net/sub.asp?sub_id=41266,החופשה שלי בפרובנס   /  Avis de mistral, 2014, ,ז'אן רנו, דרמה / זר (צרפתית)
41261,http://www.torec.net/sub.asp?sub_id=41261,יפה ומסובבת   /  Beautiful & Twisted, 2015, ,"רוב לאו, פאס וגה, קנדיס ברגן, ג'וד סיסולהלה", דרמה / פשע / מתח
33479,http://www.torec.net/sub.asp?sub_id=33479,מת לצעוק 5   /  Scary MoVie 5, 2013, מלקולם ד.לי,"רג'ינה הול, אנתוני אנדרסון, אשלי טיסדייל, אריקה אש", קומדיה
41250,http://www.torec.net/sub.asp?sub_id=41250,משלחת חיפוש   /  Search Party, 2015, ,"אליסון ברי, טי. ג'יי מילר, קריסטין ריטר, תומאס מידלדיטץ', שאנון וודוורד", קומדיה
41249,http://www.torec.net/sub.asp?sub_id=41249,פוקוס   /  Focus, 2015," גלן פיקארה, ג'ון רקווה","פרנק מונטלאון איי, גריפ פורסט, דון יסו, כריס ברו אי, קייט אדאיר, וויל סמית', בידי וונג", דרמה / פשע / קומדיה / רומנטיקה
40793,http://www.torec.net/sub.asp?sub_id=40793,חמישים גוונים של אפור   /  Fifty Shades Of Grey, 2015, סם טיילור-ג'ונסון,"קאלום קית' רני, ג'ניפר הייל, מרשה ג'יי הארדן, מקס מרטיני, ויקטור ראסוק, לוק גריימס, ג'יימי דורנן", דרמה / רומנטיקה
41247,http://www.torec.net/sub.asp?sub_id=41247,לעולם לא תהיה לנו את פריז   /  Well Never Have Paris, 2014, ,"מלאני לינסקי, סיימון הלברג", קומדיה / רומנטיקה
41246,http://www.torec.net/sub.asp?sub_id=41246,התאום   /  The Identical, 2014, דוסטין מארקאלינו,"ריי ליוטה, בלייק ראין, ארין קוטרל, ג'ו פנטוליאנו, בריאן גרגטי, אמנדה קרו, ג'י קארן תומס", דרמה / מוזיקלי
41243,http://www.torec.net/sub.asp?sub_id=41243,משפחת בלייה   /  La Famille Belier, 2014, אריק לרטיגאו,"קארין ויארד, פרנסואה דמיאן, אריק אלמוסנינו, לוויין אמרה, רוקסיין דורן, איליאן ברגלה, לוקה ג'לברג"," קומדיה / זר (ספרדית, צרפתית)"
40899,http://www.torec.net/sub.asp?sub_id=40899,מעבר למרחב   /  Beyond The Reach, 2014, ,"ג'רמי אירווין, מייקל דאגלאס", מתח
41147,http://www.torec.net/sub.asp?sub_id=41147,מרדף לילי   /  Run All Night, 2015, ג'יומי קולט סירה,"גווין-קית' ומה, הארי ל סדון, אריאל ג'יימס איי, ג'יימס פ אנדרסון, וינסנט ד'אונופריו, ליאם ניסן, אד האריס", דרמה / פעולה / פשע
41228,http://www.torec.net/sub.asp?sub_id=41228,הלו ליידיז: הסרט   /  Hello Ladies: The Movie, 2014,"","", קומדיה
4512,http://www.torec.net/sub.asp?sub_id=4512,משחקי פיתוי   /  Cruel Intentions, 1999, רוג'ר קמבל,"שרה מישל גלר, ריאן פיליפה, שון פטריק ת'ומס, סלמה בלייר, סווזי קורץ, ריס ויתרספון, אריק מביוס, לואיז פלטשר, טרה ריד, ג'ושוע ג'קסון, היפ טהי לי, כריסטינה ברנסקי"," דרמה, קומדיה שחורה, דרמה רומנטית"
41081,http://www.torec.net/sub.asp?sub_id=41081,משהו עוקב אחריי   /  It Follows, 2014, דוויד רוברט מיצ'ל,"קייר גילצ'ריסט, לינדה בוסטון, ג'ייק וארי, מאיקה מונרוה, קאיטלין בורט, אלדנט פוסטר אי, כריסטופר הוהמן", אימה
41224,http://www.torec.net/sub.asp?sub_id=41224,קונג-פיורי   /  Kung Fury, 2015,"","", פעולה / סרט קצר / קומדיה
41216,http://www.torec.net/sub.asp?sub_id=41216,לפני שאעלם   /  Before I Disappear, 2014, שאון כריסטנסן,"שאון כריסטנסן, פטימה פטכק, אמי רוסום, פול ווסלי, רון פרלמן, ריצ'רד שיף, ג'וסף פרינו", דרמה
41209,http://www.torec.net/sub.asp?sub_id=41209,עסקים לא גמורים   /  Unfinished Business, 2015, קן סקוט,"וינס וון, טום וילקינסון, דייב פרנקו, ג'יל פונק, דוויד כ בונרס, דוויד אקינלוי, דאניס אואסטריץ', הידי פהיליפסן, מארק זווינז, ג'פרי קורזיני", In English: Unfinished Businessקומדיה
40245,http://www.torec.net/sub.asp?sub_id=40245,קפיצה בזמן   /  Time Lapse, 2014, ברדלי קינג איי,"דניאל פנאבייקר, מתיו אולרי, ג'ורג' פין אי, אמין ג'וסף, ג'ייסון ספיסק, דויד פיגליולי, שרון מוגאן", מדע בדיוני / מתח
41197,http://www.torec.net/sub.asp?sub_id=41197,צ'אפי   /  Chappie, 2015, ניל בלומקאמפ,"יו ג'קמן, סיגורני וויבר, חוזה פבלו קנטילו, קווין אוטו, גרים דופי, מירנדה פריגון, דב פאטל", מתח / פעולה
41171,http://www.torec.net/sub.asp?sub_id=41171,הון אנושי   /  Human Capital, 2013, פולו ווירזי,"פבריציו בנטיווליו, מתילדה ג'ולי, ולריה ברוני טדסקי, גוגליאלמו פינלי, פבריציו גיפיני, גיגיו אלברטי, ולריה גולינו", דרמה / זר (איטלקית)
41202,http://www.torec.net/sub.asp?sub_id=41202,#מתוייגת   /  The DUFF, 2015, ארי סאנדל,"מאי ויטמן, רומני מלכו, קן ג'ונג, רובי אמל, כריס ווילד, בלה ת'ורן, בנג'מין דוויס", קומדיה
41195,http://www.torec.net/sub.asp?sub_id=41195,בחזרה לאתמול   /  Project Almanac, 2014, דין ישראלייט,"מכסן לינץ, ואלרי רוגרס, ג'וני ווסטון, פטריק ג'ונסון, ג'סי קינדרד, סם לרנר אי, טיילור מקפרסון", מדע בדיוני / מתח
41187,http://www.torec.net/sub.asp?sub_id=41187,קאט בנק   /  Cut Bank, 2014, ,"ליאם המסוורת', תרזה פלמר, בילי בוב תורנטון, ג'ון מלקוביץ, מייקל סטולברג, אוליבר פלאט", דרמה / מתח
41183,http://www.torec.net/sub.asp?sub_id=41183,השוטר   /  McCanick, 2013, ,"דייוויד מורס, קורי מונטית', מייק ווגל, רייצ'ל ניקולס", פשע / דרמה / מיסתורין
41180,http://www.torec.net/sub.asp?sub_id=41180,צוואת נעורים   /  Testament of Youth, 2014, ,"אמילי ווטסון, קולין מורגן, ג'ואנה סקנלן, מירנדה ריצ'רדסון", ביוגרפיה / דרמה / היסטוריה
41172,http://www.torec.net/sub.asp?sub_id=41172,הדבורה מאיה: הסרט   /  Maya The Bee Movie, 2014, אלכסס סטאדרמן,"נוח טיילור, ריצ'רד רוקסברג, מרים מרגוליס, אנדי מק'פי, קוסמה שיבה האגן, סנטיאגו זיסמר, קודי סמית מקפי", אנימציה / משפחה
41170,http://www.torec.net/sub.asp?sub_id=41170,הנחת 4: מטרה בתנועה   /  The Marine 4: Moving Target, 2015, ,"מייק מיזאנין, ג'וש בלאקר, מתיו מק'קול, דניאלה מוינט", פעולה / מתח
41126,http://www.torec.net/sub.asp?sub_id=41126,קינגסמן: השירות החשאי   /  Kingsman: The Secret Service, 2014, מת'יו ווהן,"קולין פירת', טרון אגרטון, סמואל ל. ג'קסון, סמנט'ה וומק, לאון סימנז, מייקל קיין, מארק האמיל", מתח / פעולה
41148,http://www.torec.net/sub.asp?sub_id=41148,הזייפן   /  The Forger, 2014, פיליפ מרטין,"סאינטורה בדו, תרוויס ארון ווד, מרקוס תומאס, ג'ייקסון וויליאמס, אנוצ'-ג'וד דנקוה, דמיאן די פאולה, תורנר האגן", דרמה / מתח / פשע
40888,http://www.torec.net/sub.asp?sub_id=40888,השכן ממול   /  The Boy Next Door, 2015, רוב כהן,"צ'ילי מו, ג'ניפר לופז, ג'ון קורבט, ראקל גרדנר, קריסטין צ'נוות', היל הארפר, טראביס שולדט", מתח
40645,http://www.torec.net/sub.asp?sub_id=40645,הבן השביעי   /  Seventh Son, 2015, ,"ברנדה מקדונלד, ג'ף ברידג'ס, דג'ימון הונסו, ג'וליאן מור, אוליביה וויליאמס, ג'ייסון סקוט לי, טימותי וובר", סרגי בודרוב
41140,http://www.torec.net/sub.asp?sub_id=41140,מכון אטיקוס   /  The Atticus Institute, 2015,"","", אימה / דרמה / מתח
40431,http://www.torec.net/sub.asp?sub_id=40431,הדירה   /  The Loft, 2014, אריק ואן לואי,"רונה מיטרה, וונטוורת' מילר, רוברט וויסדום, גראהם בקל, קארל אורבן, רייצ'ל טיילור, לאורה קאיואט", מתח
